Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Fix versions,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Actual end),Custom field (Actual start),Custom field (Approvals),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Focus Areas),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Sentiment),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Parent,Parent key,Parent summary,Status Category,Status Category Changed
USER SHOULD BE ABLE TO CHECK HIS ENROLLED COURSE,JIR-11,10054,Story,To Do,JIR,JIRA1,software,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,Medium,,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,01-04-2026 12:03,01-04-2026 12:31,,,,,0,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@49f08563,,,,,,,,,,,,,,,,0|i0004v:,,,JIR Sprint 1,,,,,,,,,,,,10046,JIR-3,COURSE MANAGEMENT,To Do,01-04-2026 12:03
USER SHOULD BE ABLE TO CONTINUE WHERE HE LEFT THE VIDEO,JIR-12,10055,Story,To Do,JIR,JIRA1,software,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,Medium,,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,01-04-2026 12:05,01-04-2026 13:59,,,,,0,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7f6b8950,,,,,,,,,,,,,,,,0|i00053:,,,JIR Sprint 1,,,,,,,,,,,,10060,JIR-17,VIDEO MANAGEMENT,To Do,01-04-2026 12:05
USER SHOULD BE ABLE TO CHECK HIS PROGRESS,JIR-13,10056,Story,To Do,JIR,JIRA1,software,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,Medium,,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,01-04-2026 12:05,02-04-2026 09:48,02-04-2026 09:48,,RELEASE1,,0,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3fb1694b,,,,,,,,,,,,,,,,0|i0005b:,,,JIR Sprint 1,,,,,,,,,,,,10046,JIR-3,COURSE MANAGEMENT,To Do,01-04-2026 12:05
USER SHOULD BE ABLE TO SEE REVIEWS AND RATINGS,JIR-14,10057,Story,To Do,JIR,JIRA1,software,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,Medium,,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,01-04-2026 12:06,02-04-2026 09:48,02-04-2026 09:48,,RELEASE1,,0,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2cca1258,,,,,,,,,,,,,,,,0|i0005j:,,,JIR Sprint 1,,,,,,,,,,,,10047,JIR-4,REVIEW,To Do,01-04-2026 12:06
USER SHOULD BE ABLE TO WATCH A VIDEO USING VIDEO PLAYER,JIR-15,10058,Story,To Do,JIR,JIRA1,software,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,Medium,,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,01-04-2026 12:06,02-04-2026 09:47,02-04-2026 09:47,,RELEASE1,,0,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@462f06e8,,,,,,,,,,,,,,,,0|i0005r:,,,JIR Sprint 1,,,,,,,,,,,,10060,JIR-17,VIDEO MANAGEMENT,To Do,01-04-2026 12:06
USER SHOULD BE ABLE TO SUBMIT THE REVIEW,JIR-16,10059,Story,To Do,JIR,JIRA1,software,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,Medium,,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,01-04-2026 12:07,02-04-2026 09:47,02-04-2026 09:47,,RELEASE1,,0,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@dcc0689,,,,,,,,,,,,,,,,0|i0005z:,,,JIR Sprint 1,,,,,,,,,,,,10047,JIR-4,REVIEW,To Do,01-04-2026 12:07
VIDEO MANAGEMENT,JIR-17,10060,Epic,To Do,JIR,JIRA1,software,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,High,,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,01-04-2026 13:58,01-04-2026 13:58,02-04-2026 09:47,,RELEASE1,30-04-2026 00:00,0,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7b0ffb72,,,,,ghx-label-3,,To Do,,,,yellow,,,,,0|i00067:,,,JIR Sprint 1,04-04-2026 00:00,,,,,,,,,,,,,,To Do,01-04-2026 13:58
WRITE FUNCTIONALITY TEST CASE FOR REGISTER MODULE,JIR-18,10061,Task,To Do,JIR,JIRA1,software,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,High,,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,01-04-2026 14:41,01-04-2026 14:41,01-04-2026 14:54,,,01-04-2026 00:00,0,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@56abc2ff,,,,,,,,,,,,,,,,0|i0006f:,,,JIR Sprint 1,01-04-2026 00:00,,,,,,,,,,,,,,To Do,01-04-2026 14:41
WRITE FUNCTIONALTIY TEST CASE FOR FULL NAME FIELD,JIR-19,10063,Sub-task,To Do,JIR,JIRA1,software,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,Medium,,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,01-04-2026 14:49,01-04-2026 14:51,01-04-2026 14:54,,,,0,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2dd9776a,,,,,,,,,,,,,,,,0|i0006n:,,,JIR Sprint 1,,,,,,,,,,,,10061,JIR-18,WRITE FUNCTIONALITY TEST CASE FOR REGISTER MODULE,To Do,01-04-2026 14:49
WRITE FUNCTIONALTIY TEST CASE FOR EMAIL FIELD,JIR-20,10065,Sub-task,To Do,JIR,JIRA1,software,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,Medium,,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,01-04-2026 14:50,01-04-2026 14:51,,,,,0,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@43c8a8,,,,,,,,,,,,,,,,0|i0006v:,,,JIR Sprint 1,,,,,,,,,,,,10061,JIR-18,WRITE FUNCTIONALITY TEST CASE FOR REGISTER MODULE,To Do,01-04-2026 14:50
WRITE FUNCTIONALITY TEST CASE FOR PHONE NUMBER FIELD,JIR-21,10067,Sub-task,To Do,JIR,JIRA1,software,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,Medium,,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,01-04-2026 14:51,01-04-2026 14:51,,,,,0,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6fa4aca1,,,,,,,,,,,,,,,,0|i00073:,,,JIR Sprint 1,,,,,,,,,,,,10061,JIR-18,WRITE FUNCTIONALITY TEST CASE FOR REGISTER MODULE,To Do,01-04-2026 14:51
WRITE FUNCTIONALITY TEST CASE FOR OTP VERIFICATION,JIR-22,10069,Sub-task,To Do,JIR,JIRA1,software,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,Medium,,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,01-04-2026 14:52,01-04-2026 14:52,,,,,0,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@37d5ee7,,,,,,,,,,,,,,,,0|i0007b:,,,JIR Sprint 1,,,,,,,,,,,,10061,JIR-18,WRITE FUNCTIONALITY TEST CASE FOR REGISTER MODULE,To Do,01-04-2026 14:52
WRITE FUNCTIONALITY TEST CASE FOR PASSWORD FIELD,JIR-23,10071,Sub-task,To Do,JIR,JIRA1,software,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,Medium,,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,01-04-2026 14:52,01-04-2026 14:52,,,,,0,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@62ad7e4,,,,,,,,,,,,,,,,0|i0007j:,,,JIR Sprint 1,,,,,,,,,,,,10061,JIR-18,WRITE FUNCTIONALITY TEST CASE FOR REGISTER MODULE,To Do,01-04-2026 14:52
WRITE FUNCTIONALITY TEST CASE FOR CONFIRM PASSWORD FIELD,JIR-24,10073,Sub-task,To Do,JIR,JIRA1,software,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,Medium,,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,01-04-2026 14:52,01-04-2026 14:52,,,,,0,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5c5e3af2,,,,,,,,,,,,,,,,0|i0007r:,,,JIR Sprint 1,,,,,,,,,,,,10061,JIR-18,WRITE FUNCTIONALITY TEST CASE FOR REGISTER MODULE,To Do,01-04-2026 14:52
WRITE FUNCTIONALITY TEST CASE FOR TERMS AND CONDITIONS CHECKBOX,JIR-25,10075,Sub-task,To Do,JIR,JIRA1,software,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,Medium,,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,01-04-2026 14:52,01-04-2026 14:52,,,,,0,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1de5c0a8,,,,,,,,,,,,,,,,0|i0007z:,,,JIR Sprint 1,,,,,,,,,,,,10061,JIR-18,WRITE FUNCTIONALITY TEST CASE FOR REGISTER MODULE,To Do,01-04-2026 14:52
WRITE FUNCTIONALITY TEST CASE FOR SUBMIT BUTTON,JIR-26,10077,Sub-task,To Do,JIR,JIRA1,software,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,Medium,,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,01-04-2026 14:53,01-04-2026 14:53,,,,,0,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6578be78,,,,,,,,,,,,,,,,0|i00087:,,,JIR Sprint 1,,,,,,,,,,,,10061,JIR-18,WRITE FUNCTIONALITY TEST CASE FOR REGISTER MODULE,To Do,01-04-2026 14:53
WRITE FUNCTIONALITY TEST CASE FOR SOCIAL LOGIN,JIR-28,10080,Sub-task,To Do,JIR,JIRA1,software,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,Medium,,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,01-04-2026 14:55,01-04-2026 14:55,,,,,0,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5373588b,,,,,,,,,,,,,,,,0|i0008n:,,,JIR Sprint 1,,,,,,,,,,,,10061,JIR-18,WRITE FUNCTIONALITY TEST CASE FOR REGISTER MODULE,To Do,01-04-2026 14:55
WRITE FUNCTIONALITY TEST CASES FOR LOGIN MODULE,JIR-27,10078,Task,To Do,JIR,JIRA1,software,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,Medium,,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,01-04-2026 14:54,01-04-2026 14:54,01-04-2026 14:55,,,,0,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@c9b436a,,,,,,,,,,,,,,,,0|i0008f:,,,JIR Sprint 1,,,,,,,,,,,,,,,To Do,01-04-2026 14:54
WRITE FUNCTIONALITY TEST CASE FOR EMAIL FIELD,JIR-29,10082,Sub-task,To Do,JIR,JIRA1,software,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,Medium,,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,01-04-2026 14:56,01-04-2026 14:56,,,,,0,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1aee860c,,,,,,,,,,,,,,,,0|i0008v:,,,JIR Sprint 1,,,,,,,,,,,,10078,JIR-27,WRITE FUNCTIONALITY TEST CASES FOR LOGIN MODULE,To Do,01-04-2026 14:56
WRITE FUNCTIONALITY TEST CASE FOR MOBILE NUMBER FIELD,JIR-30,10084,Sub-task,To Do,JIR,JIRA1,software,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,Medium,,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,01-04-2026 14:56,01-04-2026 14:56,,,,,0,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6805c4b8,,,,,,,,,,,,,,,,0|i00093:,,,JIR Sprint 1,,,,,,,,,,,,10078,JIR-27,WRITE FUNCTIONALITY TEST CASES FOR LOGIN MODULE,To Do,01-04-2026 14:56
WRITE FUNCTIONALITY TEST CASE FOR PASSWORD FIELD,JIR-31,10086,Sub-task,To Do,JIR,JIRA1,software,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,Medium,,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,01-04-2026 14:56,01-04-2026 14:56,,,,,0,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3526b8af,,,,,,,,,,,,,,,,0|i0009b:,,,JIR Sprint 1,,,,,,,,,,,,10078,JIR-27,WRITE FUNCTIONALITY TEST CASES FOR LOGIN MODULE,To Do,01-04-2026 14:56
